episode,reward,loss,accuracy,steps
0,-9000.0,23.83926598663198,0.086,1000
1,-9000.0,0.06847477011359297,0.095,1000
2,-9000.0,0.0046715433827484954,0.089,1000
3,-9000.0,0.006200747955357656,0.094,1000
4,-9000.0,0.0042746942606172525,0.07,1000
5,-9000.0,0.004902029070188291,0.103,1000
6,-9000.0,0.007112870124052278,0.097,1000
7,-9000.0,0.012179453761316836,0.088,1000
8,-9000.0,0.01125184335821541,0.094,1000
9,-9000.0,0.012878928992198781,0.117,1000
10,-9000.0,0.008619364414538722,0.084,1000
11,-9000.0,0.013429782671155409,0.105,1000
12,-9000.0,0.01034457698254846,0.097,1000
13,-9000.0,0.009560446150833742,0.083,1000
14,-9000.0,0.004866930948570371,0.093,1000
15,-9000.0,0.005171616658451967,0.099,1000
16,-9000.0,0.004108746873680502,0.092,1000
17,-9000.0,0.004435589984990656,0.093,1000
18,-9000.0,0.003569293808366638,0.078,1000
19,-9000.0,0.008893528901971877,0.097,1000
20,-9000.0,0.020135542469099165,0.089,1000
21,-9000.0,64.33985955238668,0.086,1000
22,-9000.0,0.007356063055311097,0.078,1000
23,-9000.0,0.001494551338153542,0.084,1000
24,-9000.0,0.0022787282789940946,0.089,1000
25,-9000.0,0.0022395055393571966,0.093,1000
26,-9000.0,0.0017317593198094984,0.087,1000
27,-9000.0,0.0015585889391077216,0.108,1000
28,-9000.0,0.0011723471564182547,0.085,1000
29,-9000.0,0.0010547435125045012,0.091,1000
30,-9000.0,0.0018007165949966294,0.094,1000
31,-9000.0,0.0015115546784945763,0.09,1000
32,-9000.0,0.0009383255598077085,0.094,1000
33,-9000.0,0.0012539651867700741,0.094,1000
34,-9000.0,0.0007824962270678952,0.089,1000
35,-9000.0,0.0011250511237885803,0.09,1000
36,-9000.0,0.0018553472906933167,0.082,1000
37,-9000.0,0.0026050354807521216,0.089,1000
38,-9000.0,0.0012405323530256282,0.093,1000
39,-9000.0,0.0017378387095523067,0.095,1000
40,-9000.0,0.0024081920780299696,0.097,1000
41,-9000.0,0.004067498403208447,0.082,1000
42,-9000.0,0.0009032132944557816,0.094,1000
43,-9000.0,0.001368710691924207,0.099,1000
44,-9000.0,0.0010718905708636157,0.082,1000
45,-9000.0,0.0015834428644448052,0.104,1000
46,-9000.0,0.0011463411553413608,0.078,1000
47,-9000.0,0.0016201915504352655,0.083,1000
48,-9000.0,0.0024140592047479006,0.099,1000
49,-9000.0,0.002810257913195528,0.072,1000
50,-9000.0,0.003308465855778195,0.088,1000
51,-9000.0,0.0036905204693903214,0.085,1000
52,-9000.0,0.007655892601935193,0.079,1000
53,-9000.0,0.007683553681941703,0.085,1000
54,-9000.0,0.007636364565696567,0.086,1000
55,-9000.0,0.007669876241241581,0.091,1000
56,-9000.0,0.007649073488544673,0.086,1000
57,-9000.0,0.0076686998003860935,0.079,1000
58,-9000.0,0.007844320654287003,0.098,1000
59,-9000.0,0.007753741148160771,0.071,1000
60,-9000.0,0.007724115645047277,0.09,1000
61,-9000.0,0.007748024034779519,0.08,1000
62,-9000.0,0.007735309215844609,0.078,1000
63,-9000.0,0.007749973115394823,0.087,1000
64,-9000.0,0.007737180081312545,0.075,1000
65,-9000.0,0.0077537316802190615,0.092,1000
66,-9000.0,0.007760591997765005,0.074,1000
67,-9000.0,0.0077385736466385425,0.076,1000
68,-9000.0,0.007774798399535939,0.082,1000
69,-9000.0,0.007774034202331677,0.091,1000
70,-9000.0,0.007760058464598842,0.088,1000
71,-9000.0,0.007709464564104564,0.086,1000
72,-9000.0,0.007723114968161099,0.084,1000
73,-9000.0,0.007707988872891292,0.077,1000
74,-9000.0,0.00769166433531791,0.082,1000
75,-9000.0,0.007717802723636851,0.087,1000
76,-9000.0,0.007695629852241837,0.075,1000
77,-9000.0,0.0077043596154544505,0.092,1000
78,-9000.0,0.007696201761369594,0.086,1000
79,-9000.0,0.007703255413915031,0.086,1000
80,-9000.0,0.007699965307838283,0.083,1000
81,-9000.0,0.007710828552371822,0.07,1000
82,-9000.0,0.0077310592194553465,0.089,1000
83,-9000.0,0.0077237500289920715,0.093,1000
84,-9000.0,0.007700054149026982,0.09,1000
85,-9000.0,0.007731212860555388,0.074,1000
86,-9000.0,0.007726268417434767,0.098,1000
87,-9000.0,0.0077095750054577365,0.094,1000
88,-9000.0,0.007722068408387713,0.084,1000
89,-9000.0,0.007704975740169175,0.079,1000
90,-9000.0,0.0077166503091575574,0.072,1000
91,-9000.0,0.007705806020647288,0.091,1000
92,-9000.0,0.007695687188766897,0.086,1000
93,-9000.0,0.007687511442229152,0.099,1000
94,-9000.0,0.007726176267722621,0.088,1000
95,-9000.0,0.007706800205283798,0.095,1000
96,-9000.0,0.007719974264618941,0.086,1000
97,-9000.0,0.007730543195735663,0.084,1000
98,-9000.0,0.007738305576844141,0.084,1000
99,-9000.0,0.007714175162720494,0.079,1000
100,-9000.0,0.007728656916297041,0.083,1000
101,-9000.0,0.007722291671903804,0.09,1000
102,-9000.0,0.007731795663014054,0.078,1000
103,-9000.0,0.00773059965565335,0.107,1000
104,-9000.0,0.0077203121113125234,0.092,1000
105,-9000.0,0.007740626715822145,0.092,1000
106,-9000.0,0.007710551388678141,0.086,1000
107,-9000.0,0.007734778751153499,0.082,1000
108,-9000.0,0.007704249787959271,0.079,1000
109,-9000.0,0.007723235744750127,0.096,1000
110,-9000.0,0.007740686804521829,0.092,1000
111,-9000.0,0.007777774464106187,0.088,1000
112,-9000.0,0.007773218484013342,0.084,1000
113,-9000.0,0.007773828547331505,0.078,1000
114,-9000.0,0.00779286241333466,0.088,1000
115,-9000.0,0.007806386911659502,0.093,1000
116,-9000.0,0.007800735599710606,0.078,1000
117,-9000.0,0.007800215667695738,0.078,1000
118,-9000.0,0.007784217863110825,0.082,1000
119,-9000.0,0.007773707785992883,0.096,1000
120,-9000.0,0.007833891614107415,0.095,1000
121,-9000.0,0.007776512238895521,0.083,1000
122,-9000.0,0.007802043403848075,0.075,1000
123,-9000.0,0.007735656500910409,0.11,1000
124,-9000.0,0.007612240845453926,0.086,1000
125,-9000.0,0.007611382284550928,0.084,1000
126,-9000.0,0.0076360596192535015,0.093,1000
127,-9000.0,0.007669928334071301,0.08,1000
128,-9000.0,0.007674067263375037,0.086,1000
129,-9000.0,0.007646731837419793,0.108,1000
130,-9000.0,0.007658360449247993,0.094,1000
131,-9000.0,0.007686746729421429,0.086,1000
132,-9000.0,0.0076644109825138,0.096,1000
133,-9000.0,0.007642839267267845,0.08,1000
134,-9000.0,0.0076197439485695215,0.084,1000
135,-9000.0,0.007635777387418784,0.081,1000
136,-9000.0,0.007605007181409746,0.09,1000
137,-9000.0,0.007582310530473478,0.072,1000
138,-9000.0,0.0075946821356192235,0.07,1000
139,-9000.0,0.007592786492663436,0.09,1000
140,-9000.0,0.007592529390356504,0.081,1000
141,-9000.0,0.0075970296589657664,0.081,1000
142,-9000.0,0.007581490017590113,0.078,1000
143,-9000.0,0.007572066870401613,0.081,1000
144,-9000.0,0.007574730956810527,0.085,1000
145,-9000.0,0.007575763080851175,0.068,1000
146,-9000.0,0.0075873303137486805,0.08,1000
147,-9000.0,0.007564393680542707,0.066,1000
148,-9000.0,0.007570431241416372,0.08,1000
149,-9000.0,0.007582946698064916,0.081,1000
150,-9000.0,0.0075921457894146446,0.085,1000
151,-9000.0,0.0075815934434067455,0.079,1000
152,-9000.0,0.0075867831065552305,0.073,1000
153,-9000.0,0.007565187869244255,0.066,1000
154,-9000.0,0.007580473773297854,0.073,1000
155,-9000.0,0.007551209641620517,0.098,1000
156,-9000.0,0.007583234244026244,0.086,1000
157,-9000.0,0.007585161898867227,0.087,1000
158,-9000.0,0.007577103979419917,0.078,1000
159,-9000.0,0.007626498451689258,0.068,1000
160,-9000.0,0.007627227974473499,0.087,1000
161,-9000.0,0.007640438570408151,0.071,1000
162,-9000.0,0.007649903150624596,0.086,1000
163,-9000.0,0.007634607784915716,0.075,1000
164,-9000.0,0.00765170315571595,0.072,1000
165,-9000.0,0.007642652960377745,0.085,1000
166,-9000.0,0.007655019881320186,0.086,1000
167,-9000.0,0.007641305060591548,0.093,1000
168,-9000.0,0.007634056031820364,0.103,1000
169,-9000.0,0.007641629215097055,0.077,1000
170,-9000.0,0.007662127482588403,0.081,1000
171,-9000.0,0.007667998729506508,0.079,1000
172,-9000.0,0.007660602681804449,0.097,1000
173,-9000.0,0.007653851105598733,0.083,1000
174,-9000.0,0.0076793125898111615,0.088,1000
175,-9000.0,0.007675275732181035,0.083,1000
176,-9000.0,0.0076978215599665415,0.086,1000
177,-9000.0,0.007759286650689319,0.087,1000
178,-9000.0,0.007780082129174843,0.074,1000
179,-9000.0,0.00778093493625056,0.091,1000
180,-9000.0,0.007791699288762175,0.084,1000
181,-9000.0,0.007773184526944533,0.07,1000
182,-9000.0,0.007784272521035746,0.088,1000
183,-9000.0,0.007781395086552948,0.091,1000
184,-9000.0,0.0077750240931054575,0.069,1000
185,-9000.0,0.0077819265424041075,0.081,1000
186,-9000.0,0.007790287030860782,0.091,1000
187,-9000.0,0.007648180513991974,0.072,1000
188,-9000.0,0.00765490505984053,0.073,1000
189,-9000.0,0.007636859610676765,0.083,1000
190,-9000.0,0.007630305664031767,0.077,1000
191,-9000.0,0.00763709897431545,0.065,1000
192,-9000.0,0.007649950201739557,0.093,1000
193,-9000.0,0.007647857738891616,0.066,1000
194,-9000.0,0.007669879869208671,0.106,1000
195,-9000.0,0.007659522436209955,0.089,1000
196,-9000.0,0.007678777643945068,0.088,1000
197,-9000.0,0.007668733942904509,0.07,1000
198,-9000.0,0.007665709732333198,0.08,1000
199,-9000.0,0.007666937894537113,0.077,1000
200,-9000.0,0.007664472942822613,0.084,1000
201,-9000.0,0.007659253543359228,0.095,1000
202,-9000.0,0.007577699498622678,0.089,1000
203,-9000.0,0.007612229355960153,0.092,1000
204,-9000.0,0.007592750016483478,0.09,1000
205,-9000.0,0.007578138358192518,0.107,1000
206,-9000.0,0.007567049173288979,0.081,1000
207,-9000.0,0.007575546440202743,0.061,1000
208,-9000.0,0.007572609041584656,0.08,1000
209,-9000.0,0.007529202601639554,0.092,1000
210,-9000.0,0.007582767367945053,0.093,1000
211,-9000.0,0.007557487039943226,0.099,1000
212,-9000.0,0.007569820691947825,0.087,1000
213,-9000.0,0.007555230283178389,0.077,1000
214,-9000.0,0.007561754234135151,0.08,1000
215,-9000.0,0.007541437323554419,0.079,1000
216,-9000.0,0.0075145460433559495,0.08,1000
217,-9000.0,0.0075264502480858935,0.066,1000
218,-9000.0,0.00752022563747596,0.085,1000
219,-9000.0,0.007540676748147234,0.075,1000
220,-9000.0,0.007530918808304705,0.09,1000
221,-9000.0,0.007524886065046303,0.08,1000
222,-9000.0,0.0075642580699641256,0.083,1000
223,-9000.0,0.0075264522910583765,0.081,1000
224,-9000.0,0.007557375612552278,0.089,1000
225,-9000.0,0.0075483860226813705,0.081,1000
226,-9000.0,0.007565743947867304,0.097,1000
227,-9000.0,0.007563741719932296,0.089,1000
228,-9000.0,0.007562687007593922,0.077,1000
